MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,chooseFile,1698,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,chooseFile,1677,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,cleanCodeText,1649,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,codePageConvert,1824,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,codePageConvert,1822,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,coordsToString,1203,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.returns.EmptyObjectReturnValsMutator,coordsToString,1204,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,coordsToString,1208,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.ConditionalsBoundaryMutator,coordsToString,1212,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,coordsToString,1208,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,coordsToString,1212,NO_COVERAGE,none
MyStringUtils.java,org.brunocvcunha.inutils4j.MyStringUtils,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,coordsToString,1208,NO_COVERAGE,none
