smooks_smooks-json-cartridge,051ee32567df7afe1bf02eec181497f4252d6226,0.28256,604,1,15,4,51,2,15,79.58
bvolpato_inutils4j,8af0f143bfd4ef979892df314dec7858fa6e11af,0.34046,3881,139,43,28,293,7,43,28.81
Hakky54_log-captor,0a564b85a4d50dd7b176101cd50a524658bec971,0.46983,1292,,37,9,52,31,0,95.92
hyperledger_fabric-sdk-java,d5de60407ecbdc9cf9734e4425809cd8e90d33b3,0.40798,33811,0,0
stevespringett_CPE-Parser,071cde87007df8d260e0804712acefe2cc2c5c35,0.38457,5045,601,125,14,127,21,117,93.89
heroku_heroku-jvm-application-deployer,85970ad88d290855116a48f52a13ca0c249eac80,0.39863,1416,15,6,28,102,1,6,3.51
reactiverse_vertx-maven-plugin,be53f482d5c1eb6163eddbcf10ebecfb304d347f,0.45827,6456,52,62
RohanNagar_jmail,5ed0107bd0af5d8d31aab3cd511ccb447aaca235,0.36901,2359,2,17
smooks_smooks-flatfile-cartridge,59d15e092ca6cbb30bde25625ac030183f7d0574,0.28316,1538,43,22,31,122,12,22,65.79
Unleash_unleash-client-java,5c6a4314e577c0f78dfe79cc4cfac558a09cf94c,0.55636,6775,0,32,71,355,36,163,78.92
flipkart-incubator_zjsonpatch,4e4996812343a12294d5f6387a7af043102378f6,0.49287,2077,146,61,18,118,21,314,91.41
urbanairship_java-library,8003bcc39f5fcba3e00d0804184872e96fd9fcc1,0.48161,59551,2642,1037,884,5217,228,1037,75.23
facebook_facebook-java-business-sdk,e6e76a07b5a03fd6fecffa0f81850786b42a31b0,0.46895,589605,201,69,2910,95664,17,69,0.35
j256_ormlite-core,59309e51c61e8a63cb5fd24a5a7607b668a5f095,0.46085,41256,3017,1195,214,1865,556,1316,91.43
CampagneLaboratory_icb-utils,afee1d9352b910fc5a6cde241696520ea99574d4,0.22131,9528,,0,47,353,0,0,0.0
kyrill007_loosejar,25e6e50971c4ea6f619cd35855d8388c72d84806,0.21828,487,,0,14,39,0,0,0.0
stoicflame_ofx4j,2d5aa06722cd97e61cbe95eb6b6a922aaba41cdf,0.33819,14135,1,0
JDatePicker_JDatePicker,4cf1d9c878fd4e82f2d7f6be13a29f7dba3fe84f,0.29636,2565,0,0,30,220,21,0,0.0
graphstream_gs-algo,804a9c06bf081c2906f8be30e651c71ba0640f9c,0.36272,14589,,0,212,1353,23,72,34.44
bgoodin_stripes-guice,10f14a5893ed44d6e1c04da03c4d293ca4e4570f,0.19311,745,15,9,10,26,16,9,61.97
schloepke_jbasics,62a85a2144ab52361f813dbddfb23ba6ed16df16,0.32444,30715,,0
antlr_stringtemplate4,bb92568f7f0ce3d3bc115db567ad9067640cd6d1,0.40233,15635,,0
kdgregory_swinglib,d38cb690118a016fd389ee31dc1f4e0b6eab0df4,0.19424,5486,103,0,24,130,9,34,52.87
notima_siefilelib,d71a14fbc9751ff40bb1a6b976b506fbdaa0c3f0,0.24218,2339,11,7,24,230,7,2,2.25
